food_code,food_name,energy_kcal,protein_g,carb_g,fat_g,fibre_g,freesugar_g,sodium_mg
BFP154,Beans and macaroni,136.082,4.583,14.242,7.014,2.05,1.677,182.787
BFP155,Spaghetti bolognese,97.426,9.35,10.043,9.515,1.078,1.411,5358.596
BFP157,Meat and macaroni casserole,161.55,9.147,16.124,10.168,1.187,0.995,2511.986
BFP158,Spaghetti with meat balls and tomato sauce,158.127,5.606,10.458,10.64,1.115,1.866,189.127
BFP159,Spaghetti with paneer balls and tomato sauce,158.536,3.954,12.725,10.438,1.25,3.025,199.553
BFP161,Lasagne with meat sauce,63.376,2.902,5.383,3.435,0.473,1.039,37.082
BFP162,Lasagne with vegetables,49.228,1.705,5.904,2.16,0.663,1.368,40.785
BFP165,Home made egg noodles,240.845,6.547,42.921,4.374,1.595,1.034,177.243
BFP170,Sour lentils (Khatti dal),34.787,2.216,6.039,0.124,1.222,1.252,115.604
BFP171,Urad special dehusked,69.435,3.14,8.862,2.169,2.502,1.322,109.559
BFP172,Arhar with spinach (Arhar dal aur palak),52.837,2.051,4.766,2.755,1.295,0.231,109.967
BFP174,Moong dal with vadi,24.079,0.397,0.995,2.048,0.394,0.448,112.364
BFP176,Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.741,1.132,3.37,0.882,1.596,0.83,104.106
BFP177,Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.412,1.106,2.846,0.874,1.537,0.445,102.767
BFP178,Green gram whole with baghar (Sabut moong dal with tadka),63.435,3.231,6.795,2.48,3.015,0.148,181.691
BFP179,Urad sabut special,79.393,2.329,5.032,5.462,2.149,0.864,60.088
BFP185,Kabuli channa curry,68.574,2.922,7.628,3.057,1.117,1.241,122.054
BFP187,Besan gatte curry,189.38,7.755,16.256,10.721,3.247,4.499,356.275
BFP190,Dry masala chops,135.072,9.08,3.299,9.537,0.856,2.27,83.474
BFP194,Mutton korma,115.639,7.092,2.532,8.535,0.778,1.636,56.935
BFP196,Shahi keema kofta curry,418.135,4.141,1.732,43.826,0.906,0.78,104.53
BFP197,Minced meat ball curry,109.786,6.816,2.858,7.847,1.488,1.273,170.055
BFP198,Boti kebab,132.858,9.223,3.062,9.267,0.756,2.091,78.143
BFP199,Mutton seekh kebab,133.938,11.25,3.108,8.434,1.884,1.398,102.169
BFP201,Indian lamb and egg curry (Nargisi kofta),335.751,3.84,2.07,34.697,0.595,0.747,57.438
BFP203,Soya chunks sweet and sour (Nutrinugget sweet and sour),500.941,2.854,3.274,55.991,0.858,1.096,2257.669
BFP204,Soya chunks korma (Nutrinugget korma),131.427,3.862,7.672,9.499,2.57,4.665,148.976
BFP205,Mushroom matar,70.77,2.792,5.332,4.107,3.132,1.394,61.628
BFP206,Soya chunks and peas (Nutrinugget matar),82.622,3.029,5.819,5.108,2.857,1.644,70.967
BFP207,Vegetable yakhni,406.058,1.175,1.94,43.796,0.614,1.435,38.053
BFP208,Spinach mushroom (Palak mushroom),47.625,1.94,2.954,2.957,2.272,0.995,70.967
BFP210,Vegetarian nargisi kofta curry,332.154,2.288,6.578,32.94,0.861,1.648,73.557
BFP212,Roast chicken,199.903,20.486,0.1,13.063,0.031,0.046,71.706
BFP214,Shahi chicken masala,163.695,9.824,4.065,12.017,0.962,2.858,142.561
BFP216,Tomato chicken,111.68,10.57,2.132,6.715,1.423,0.928,104.828
BFP217,Creamy chicken,152.866,13.518,3.126,9.574,0.694,2.112,97.085
BFP218,Broccoli chicken ala king,119.561,7.974,5.337,7.573,1.921,2.487,104.009
BFP220,Ginger chicken,129.168,8.245,5.599,8.241,1.214,1.948,365.857
BFP221,Chicken sweet and sour,445.094,6.92,2.666,47.592,0.577,0.89,1809.935
BFP222,Chicken korma,147.958,9.831,5.43,9.674,1.819,3.322,119.212
BFP223,Bengal fish curry (Bengali machli curry),109.433,7.263,4.42,7.027,1.927,2.387,76.38
BFP226,Fish finger,542.901,5.656,4.474,55.822,0.34,0.172,103.546
BFP229,Fish in coconut milk (Nariyal ke doodh ke saath machli),86.205,8.659,2.731,4.432,1.515,1.549,73.93
BFP230,Prawn curry (with coconut) (Jhinga curry),109.549,8.543,3.103,6.929,1.564,2.035,375.864
BFP231,Baked stuffed fish,121.96,16.138,2.121,5.427,0.376,0.346,74.362
BFP232,Fish pie,120.895,9.25,7.744,5.773,0.757,1.131,101.796
BFP233,Crispy baked fish,138.402,10.954,9.587,6.413,1.207,1.527,192.423
BFP234,Fish souffle,139.707,10.508,5.139,8.546,0.192,2.093,92.452
BFP239,Potato curry (Aloo ki sabzi),89.555,1.518,10.42,4.469,2.422,1.585,78.396
BFP240,Egg curry (Anda curry),117.521,5.383,4.033,8.809,2.093,1.897,142.121
BFP241,Vegetable curry with coconut ,83.071,2.774,7.185,4.656,3.346,1.412,43.398
BFP242,Curd with potatoes (Dahi aloo),59.904,1.563,7.146,2.721,1.187,1.82,51.991
BFP246,Potato kofta curry (Aloo kofta curry),455.397,0.56,2.784,49.085,0.56,0.63,30.122
BFP249,Yam kofta curry (Zimikand/Suran kofta curry),322.879,0.715,3.749,33.835,1.038,0.626,42.222
BFP250,Jackfruit kofta curry (Kathal ka kofta curry),321.083,0.804,3.167,33.832,0.964,2.395,40.037
BFP257,Spinach and potato (Palak aloo),57.171,1.63,5.912,2.82,2.038,0.934,62.46
BFP258,Mooli bhujia,91.202,1.687,4.744,7.25,2.356,1.071,89.731
BFP259,Bathua bhujia,90.901,2.264,3.63,7.288,3.803,1.079,81.987
BFP261,Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.475,8.206,6.094,9.359,1.836,1.26,118.053
BFP262,Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.627,5.76,7.032,8.168,2.352,3.806,123.984
